fullName,politicalGroup,id,nationalPoliticalGroup,photo,nameAudio,gender_Wiki,gender_2017,gender,dateOfBirth_Wiki,dateOfBirth_Home,dateOfBirth,placeOfBirth,country,homePage
Marc ANGEL,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,202073,Parti ouvrier socialiste luxembourgeois,https://www.europarl.europa.eu/mepphoto/202073.jpg,https://www.europarl.europa.eu/mepaudio/202073.mp3,MALE,,MALE,"March 12, 1963",12-03-1963,03-12-1963,Luxembourg-Ville,Luxembourg,https://www.europarl.europa.eu/meps/en/202073/MARC_ANGEL/home
Gerolf ANNEMANS,Identity and Democracy Group,124973,Vlaams Belang,https://www.europarl.europa.eu/mepphoto/124973.jpg,https://www.europarl.europa.eu/mepaudio/124973.mp3,MALE,MALE,MALE,"November 8, 1958",08-11-1958,11-08-1958,Antwerpen,Belgium,https://www.europarl.europa.eu/meps/en/124973/GEROLF_ANNEMANS/home
Andrus ANSIP,Renew Europe Group,124696,Eesti Reformierakond,https://www.europarl.europa.eu/mepphoto/124696.jpg,https://www.europarl.europa.eu/mepaudio/124696.mp3,MALE,MALE,MALE,"October 1, 1956",01-10-1956,10-01-1956,Tartu,Estonia,https://www.europarl.europa.eu/meps/en/124696/ANDRUS_ANSIP/home
Attila ARA-KOVÁCS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197587,Demokratikus Koalíció,https://www.europarl.europa.eu/mepphoto/197587.jpg,https://www.europarl.europa.eu/mepaudio/197587.mp3,MALE,,MALE,"January 14, 1953",14-01-1953,14-01-1953,Oradea,Hungary,https://www.europarl.europa.eu/meps/en/197587/ATTILA_ARA-KOVÁCS/home
Maria ARENA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124936,Parti Socialiste,https://www.europarl.europa.eu/mepphoto/124936.jpg,https://www.europarl.europa.eu/mepaudio/124936.mp3,FEMALE,FEMALE,FEMALE,"December 17, 1966",17-12-1966,17-12-1966,Mons,Belgium,https://www.europarl.europa.eu/meps/en/124936/MARIA_ARENA/home
Pablo ARIAS ECHEVERRÍA,Group of the European People's Party (Christian Democrats),96808,Partido Popular,https://www.europarl.europa.eu/mepphoto/96808.jpg,https://www.europarl.europa.eu/mepaudio/96808.mp3,MALE,MALE,MALE,"June 30, 1970",30-06-1970,30-06-1970,Madrid,Spain,https://www.europarl.europa.eu/meps/en/96808/PABLO_ARIAS_ECHEVERRÍA/home
Pascal ARIMONT,Group of the European People's Party (Christian Democrats),24922,Christlich Soziale Partei,https://www.europarl.europa.eu/mepphoto/24922.jpg,https://www.europarl.europa.eu/mepaudio/24922.mp3,MALE,MALE,MALE,"September 25, 1974",25-09-1974,25-09-1974,Malmedy,Belgium,https://www.europarl.europa.eu/meps/en/24922/PASCAL_ARIMONT/home
Bartosz ARŁUKOWICZ,Group of the European People's Party (Christian Democrats),197492,Platforma Obywatelska,https://www.europarl.europa.eu/mepphoto/197492.jpg,https://www.europarl.europa.eu/mepaudio/197492.mp3,MALE,,MALE,"December 30, 1971",30-12-1971,30-12-1971,Resko,Poland,https://www.europarl.europa.eu/meps/en/197492/BARTOSZ_ARŁUKOWICZ/home
Konstantinos ARVANITIS,The Left group in the European Parliament - GUE/NGL,197701,Coalition of the Radical Left,https://www.europarl.europa.eu/mepphoto/197701.jpg,https://www.europarl.europa.eu/mepaudio/197701.mp3,MALE,,MALE,,09-06-1964,06-09-1964,Athens,Greece,https://www.europarl.europa.eu/meps/en/197701/KONSTANTINOS_ARVANITIS/home
Anna-Michelle ASIMAKOPOULOU,Group of the European People's Party (Christian Democrats),197695,Nea Demokratia,https://www.europarl.europa.eu/mepphoto/197695.jpg,https://www.europarl.europa.eu/mepaudio/197695.mp3,,,FEMALE,,27-03-1967,27-03-1967,New York,Greece,https://www.europarl.europa.eu/meps/en/197695/ANNA-MICHELLE_ASIMAKOPOULOU/home
Manon AUBRY,The Left group in the European Parliament - GUE/NGL,197533,La France Insoumise,https://www.europarl.europa.eu/mepphoto/197533.jpg,https://www.europarl.europa.eu/mepaudio/197533.mp3,FEMALE,,FEMALE,"December 22, 1989",22-12-1989,22-12-1989,Frejus,France,https://www.europarl.europa.eu/meps/en/197533/MANON_AUBRY/home
Margrete AUKEN,Group of the Greens/European Free Alliance,28161,Socialistisk Folkeparti,https://www.europarl.europa.eu/mepphoto/28161.jpg,https://www.europarl.europa.eu/mepaudio/28161.mp3,FEMALE,FEMALE,FEMALE,"January 6, 1945",,06-01-1945,,Denmark,https://www.europarl.europa.eu/meps/en/28161/MARGRETE_AUKEN/home
Petras AUŠTREVIČIUS,Renew Europe Group,124766,Lietuvos Respublikos liberalų sąjūdis,https://www.europarl.europa.eu/mepphoto/124766.jpg,https://www.europarl.europa.eu/mepaudio/124766.mp3,MALE,MALE,MALE,"May 16, 1963",16-05-1963,16-05-1963,Vilnius,Lithuania,https://www.europarl.europa.eu/meps/en/124766/PETRAS_AUŠTREVIČIUS/home
Carmen AVRAM,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197651,Partidul Social Democrat,https://www.europarl.europa.eu/mepphoto/197651.jpg,https://www.europarl.europa.eu/mepaudio/197651.mp3,FEMALE,,FEMALE,"May 8, 1966",08-05-1966,05-08-1966,Viseu de Sus,Romania,https://www.europarl.europa.eu/meps/en/197651/CARMEN_AVRAM/home
Malik AZMANI,Renew Europe Group,197781,Volkspartij voor Vrijheid en Democratie,https://www.europarl.europa.eu/mepphoto/197781.jpg,https://www.europarl.europa.eu/mepaudio/197781.mp3,MALE,,MALE,"January 20, 1976",20-01-1976,20-01-1976,Heerenveen,Netherlands,https://www.europarl.europa.eu/meps/en/197781/MALIK_AZMANI/home
Simona BALDASSARRE,Identity and Democracy Group,197789,Lega,https://www.europarl.europa.eu/mepphoto/197789.jpg,https://www.europarl.europa.eu/mepaudio/197789.mp3,,,FEMALE,"November 12, 1970",12-11-1970,11-12-1970,Giurdignano,Italy,https://www.europarl.europa.eu/meps/en/197789/SIMONA_BALDASSARRE/home
Marek Paweł BALT,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197495,Nowa Lewica,https://www.europarl.europa.eu/mepphoto/197495.jpg,https://www.europarl.europa.eu/mepaudio/197495.mp3,MALE,,MALE,,08-04-1973,04-08-1973,Czestochowa,Poland,https://www.europarl.europa.eu/meps/en/197495/MAREK_PAWEŁ_BALT/home
Jordan BARDELLA,Identity and Democracy Group,131580,Rassemblement national,https://www.europarl.europa.eu/mepphoto/131580.jpg,https://www.europarl.europa.eu/mepaudio/131580.mp3,MALE,,MALE,"September 13, 1995",13-09-1995,13-09-1995,Drancy,France,https://www.europarl.europa.eu/meps/en/131580/JORDAN_BARDELLA/home
Katarina BARLEY,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197433,Sozialdemokratische Partei Deutschlands,https://www.europarl.europa.eu/mepphoto/197433.jpg,https://www.europarl.europa.eu/mepaudio/197433.mp3,FEMALE,,FEMALE,"November 19, 1968",19-11-1968,19-11-1968,Köln,Germany,https://www.europarl.europa.eu/meps/en/197433/KATARINA_BARLEY/home
Pietro BARTOLO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197808,Partito Democratico,https://www.europarl.europa.eu/mepphoto/197808.jpg,https://www.europarl.europa.eu/mepaudio/197808.mp3,MALE,,MALE,"February 10, 1956",10-02-1956,02-10-1956,Lampedusa,Italy,https://www.europarl.europa.eu/meps/en/197808/PIETRO_BARTOLO/home
Traian BĂSESCU,Group of the European People's Party (Christian Democrats),197671,Partidul Mișcarea Populară,https://www.europarl.europa.eu/mepphoto/197671.jpg,https://www.europarl.europa.eu/mepaudio/197671.mp3,MALE,,MALE,"November 4, 1951",04-11-1951,11-04-1951,Basarabi,Romania,https://www.europarl.europa.eu/meps/en/197671/TRAIAN_BĂSESCU/home
Alessandra BASSO,Identity and Democracy Group,197610,Lega,https://www.europarl.europa.eu/mepphoto/197610.jpg,https://www.europarl.europa.eu/mepaudio/197610.mp3,,,FEMALE,"March 14, 1967",14-03-1967,14-03-1967,Treviso,Italy,https://www.europarl.europa.eu/meps/en/197610/ALESSANDRA_BASSO/home
José Ramón BAUZÁ DÍAZ,Renew Europe Group,197779,Ciudadanos – Partido de la Ciudadanía,https://www.europarl.europa.eu/mepphoto/197779.jpg,https://www.europarl.europa.eu/mepaudio/197779.mp3,MALE,,MALE,,16-11-1970,16-11-1970,Madrid,Spain,https://www.europarl.europa.eu/meps/en/197779/JOSÉ_RAMÓN_BAUZÁ_DÍAZ/home
Nicolas BAY,Non-attached Members,124760,Reconquête!,https://www.europarl.europa.eu/mepphoto/124760.jpg,https://www.europarl.europa.eu/mepaudio/124760.mp3,MALE,MALE,MALE,"December 21, 1977",21-12-1977,21-12-1977,Saint-Germain-en-Laye,France,https://www.europarl.europa.eu/meps/en/124760/NICOLAS_BAY/home
Gunnar BECK,Identity and Democracy Group,132191,Alternative für Deutschland,https://www.europarl.europa.eu/mepphoto/132191.jpg,https://www.europarl.europa.eu/mepaudio/132191.mp3,MALE,,MALE,"May 1, 1965",,01-05-1965,,Germany,https://www.europarl.europa.eu/meps/en/132191/GUNNAR_BECK/home
Nicola BEER,Renew Europe Group,197437,Freie Demokratische Partei,https://www.europarl.europa.eu/mepphoto/197437.jpg,https://www.europarl.europa.eu/mepaudio/197437.mp3,FEMALE,,FEMALE,"January 23, 1970",23-01-1970,23-01-1970,Wiesbaden,Germany,https://www.europarl.europa.eu/meps/en/197437/NICOLA_BEER/home
Tiziana BEGHIN,Non-attached Members,124777,Movimento 5 Stelle,https://www.europarl.europa.eu/mepphoto/124777.jpg,https://www.europarl.europa.eu/mepaudio/124777.mp3,,FEMALE,FEMALE,"February 4, 1971",04-02-1971,02-04-1971,Genova,Italy,https://www.europarl.europa.eu/meps/en/124777/TIZIANA_BEGHIN/home
Aurélia BEIGNEUX,Identity and Democracy Group,197680,Rassemblement national,https://www.europarl.europa.eu/mepphoto/197680.jpg,https://www.europarl.europa.eu/mepaudio/197680.mp3,FEMALE,,FEMALE,"June 2, 1980",02-06-1980,06-02-1980,,France,https://www.europarl.europa.eu/meps/en/197680/AURÉLIA_BEIGNEUX/home
Marek BELKA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197496,Nowa Lewica,https://www.europarl.europa.eu/mepphoto/197496.jpg,https://www.europarl.europa.eu/mepaudio/197496.mp3,MALE,,MALE,"January 9, 1952",09-01-1952,01-09-1952,Łódź,Poland,https://www.europarl.europa.eu/meps/en/197496/MAREK_BELKA/home
François-Xavier BELLAMY,Group of the European People's Party (Christian Democrats),197534,Les Républicains,https://www.europarl.europa.eu/mepphoto/197534.jpg,https://www.europarl.europa.eu/mepaudio/197534.mp3,MALE,,MALE,"October 11, 1985",11-10-1985,10-11-1985,Paris,France,https://www.europarl.europa.eu/meps/en/197534/FRANÇOIS-XAVIER_BELLAMY/home
Adrian-Dragoş BENEA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197658,Partidul Social Democrat,https://www.europarl.europa.eu/mepphoto/197658.jpg,https://www.europarl.europa.eu/mepaudio/197658.mp3,,,MALE,,18-12-1975,18-12-1975,Bacău,Romania,https://www.europarl.europa.eu/meps/en/197658/ADRIAN-DRAGOŞ_BENEA/home
Brando BENIFEI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124867,Partito Democratico,https://www.europarl.europa.eu/mepphoto/124867.jpg,https://www.europarl.europa.eu/mepaudio/124867.mp3,MALE,MALE,MALE,"January 1, 1986",01-01-1986,01-01-1986,La Spezia,Italy,https://www.europarl.europa.eu/meps/en/124867/BRANDO_BENIFEI/home
Isabel BENJUMEA BENJUMEA,Group of the European People's Party (Christian Democrats),197679,Partido Popular,https://www.europarl.europa.eu/mepphoto/197679.jpg,https://www.europarl.europa.eu/mepaudio/197679.mp3,FEMALE,,FEMALE,,05-09-1982,09-05-1982,Madrid,Spain,https://www.europarl.europa.eu/meps/en/197679/ISABEL_BENJUMEA_BENJUMEA/home
Monika BEŇOVÁ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23868,SMER-Sociálna demokracia,https://www.europarl.europa.eu/mepphoto/23868.jpg,https://www.europarl.europa.eu/mepaudio/23868.mp3,FEMALE,FEMALE,FEMALE,"August 15, 1968",15-08-1968,15-08-1968,Bratislava,Slovakia,https://www.europarl.europa.eu/meps/en/23868/MONIKA_BEŇOVÁ/home
Hildegard BENTELE,Group of the European People's Party (Christian Democrats),197408,Christlich Demokratische Union Deutschlands,https://www.europarl.europa.eu/mepphoto/197408.jpg,https://www.europarl.europa.eu/mepaudio/197408.mp3,FEMALE,,FEMALE,"May 22, 1976",22-05-1976,22-05-1976,Ludwigsburg,Germany,https://www.europarl.europa.eu/meps/en/197408/HILDEGARD_BENTELE/home
Tom BERENDSEN,Group of the European People's Party (Christian Democrats),197778,Christen Democratisch Appèl,https://www.europarl.europa.eu/mepphoto/197778.jpg,https://www.europarl.europa.eu/mepaudio/197778.mp3,MALE,,MALE,"April 11, 1983",11-04-1983,04-11-1983,Breda,Netherlands,https://www.europarl.europa.eu/meps/en/197778/TOM_BERENDSEN/home
Lars Patrick BERG,European Conservatives and Reformists Group,197478,Liberal-Conservative Refomists,https://www.europarl.europa.eu/mepphoto/197478.jpg,https://www.europarl.europa.eu/mepaudio/197478.mp3,MALE,,MALE,"January 22, 1966",22-01-1966,22-01-1966,Frankfurt/Main,Germany,https://www.europarl.europa.eu/meps/en/197478/LARS_PATRICK_BERG/home
Stefan BERGER,Group of the European People's Party (Christian Democrats),197410,Christlich Demokratische Union Deutschlands,https://www.europarl.europa.eu/mepphoto/197410.jpg,https://www.europarl.europa.eu/mepaudio/197410.mp3,MALE,,MALE,"January 1, 1964",15-09-1969,15-09-1969,Mönchengladbach,Germany,https://www.europarl.europa.eu/meps/en/197410/STEFAN_BERGER/home
Erik BERGKVIST,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197396,Arbetarepartiet- Socialdemokraterna,https://www.europarl.europa.eu/mepphoto/197396.jpg,https://www.europarl.europa.eu/mepaudio/197396.mp3,MALE,,MALE,"May 1, 1965",01-05-1965,05-01-1965,Norsjö,Sweden,https://www.europarl.europa.eu/meps/en/197396/ERIK_BERGKVIST/home
Sergio BERLATO,European Conservatives and Reformists Group,4746,Fratelli d'Italia,https://www.europarl.europa.eu/mepphoto/4746.jpg,https://www.europarl.europa.eu/mepaudio/4746.mp3,MALE,MALE,MALE,"July 27, 1959",27-07-1959,27-07-1959,Vicenza,Italy,https://www.europarl.europa.eu/meps/en/4746/SERGIO_BERLATO/home
Silvio BERLUSCONI,Group of the European People's Party (Christian Democrats),4391,Forza Italia,https://www.europarl.europa.eu/mepphoto/4391.jpg,https://www.europarl.europa.eu/mepaudio/4391.mp3,MALE,MALE,MALE,"September 29, 1936",29-09-1936,29-09-1936,Milano,Austria,https://www.europarl.europa.eu/meps/en/4391/SILVIO_BERLUSCONI/home
Alexander BERNHUBER,Group of the European People's Party (Christian Democrats),197648,Österreichische Volkspartei,https://www.europarl.europa.eu/mepphoto/197648.jpg,https://www.europarl.europa.eu/mepaudio/197648.mp3,MALE,,MALE,"May 18, 1992",18-05-1992,18-05-1992,,Poland,https://www.europarl.europa.eu/meps/en/197648/ALEXANDER_BERNHUBER/home
Robert BIEDROŃ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197498,Nowa Lewica,https://www.europarl.europa.eu/mepphoto/197498.jpg,https://www.europarl.europa.eu/mepaudio/197498.mp3,MALE,,MALE,"April 13, 1976",,13-04-1976,,Poland,https://www.europarl.europa.eu/meps/en/197498/ROBERT_BIEDROŃ/home
Adam BIELAN,European Conservatives and Reformists Group,23788,Partia Republikańska,https://www.europarl.europa.eu/mepphoto/23788.jpg,https://www.europarl.europa.eu/mepaudio/23788.mp3,MALE,MALE,MALE,"September 12, 1974",12-09-1974,09-12-1974,Gdańsk,France,https://www.europarl.europa.eu/meps/en/23788/ADAM_BIELAN/home
Stéphane BIJOUX,Renew Europe Group,197551,La République en marche,https://www.europarl.europa.eu/mepphoto/197551.jpg,https://www.europarl.europa.eu/mepaudio/197551.mp3,MALE,,MALE,"October 8, 1970",08-10-1970,10-08-1970,Saint-Denis (Reunion),Spain,https://www.europarl.europa.eu/meps/en/197551/STÉPHANE_BIJOUX/home
Izaskun BILBAO BARANDICA,Renew Europe Group,96922,Partido Nacionalista Vasco,https://www.europarl.europa.eu/mepphoto/96922.jpg,https://www.europarl.europa.eu/mepaudio/96922.mp3,FEMALE,FEMALE,FEMALE,"March 27, 1961",27-03-1961,27-03-1961,Bermeo,Slovakia,https://www.europarl.europa.eu/meps/en/96922/IZASKUN_BILBAO_BARANDICA/home
Vladimír BILČÍK,Group of the European People's Party (Christian Democrats),197771,SPOLU – občianska demokracia,https://www.europarl.europa.eu/mepphoto/197771.jpg,https://www.europarl.europa.eu/mepaudio/197771.mp3,MALE,,MALE,"May 27, 1975",27-05-1975,27-05-1975,Bratislava,France,https://www.europarl.europa.eu/meps/en/197771/VLADIMÍR_BILČÍK/home
Dominique BILDE,Identity and Democracy Group,124771,Rassemblement national,https://www.europarl.europa.eu/mepphoto/124771.jpg,https://www.europarl.europa.eu/mepaudio/124771.mp3,,FEMALE,FEMALE,"August 1, 1953",01-08-1953,08-01-1953,Nancy,Germany,https://www.europarl.europa.eu/meps/en/124771/DOMINIQUE_BILDE/home
Gabriele BISCHOFF,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197435,Sozialdemokratische Partei Deutschlands,https://www.europarl.europa.eu/mepphoto/197435.jpg,https://www.europarl.europa.eu/mepaudio/197435.mp3,FEMALE,,FEMALE,"January 4, 1961",04-01-1961,01-04-1961,Bad Wildungen,France,https://www.europarl.europa.eu/meps/en/197435/GABRIELE_BISCHOFF/home
Benoît BITEAU,Group of the Greens/European Free Alliance,197512,Europe Écologie,https://www.europarl.europa.eu/mepphoto/197512.jpg,https://www.europarl.europa.eu/mepaudio/197512.mp3,,,MALE,"April 7, 1967",07-04-1967,04-07-1967,Royan,Sweden,https://www.europarl.europa.eu/meps/en/197512/BENOÎT_BITEAU/home
Mara BIZZOTTO,Identity and Democracy Group,97198,Lega,https://www.europarl.europa.eu/mepphoto/97198.jpg,https://www.europarl.europa.eu/mepaudio/97198.mp3,FEMALE,FEMALE,FEMALE,"June 3, 1972",03-06-1972,06-03-1972,Bassano del Grappa (VI),Romania,https://www.europarl.europa.eu/meps/en/97198/MARA_BIZZOTTO/home
Malin BJÖRK,The Left group in the European Parliament - GUE/NGL,124992,Vänsterpartiet,https://www.europarl.europa.eu/mepphoto/124992.jpg,https://www.europarl.europa.eu/mepaudio/124992.mp3,FEMALE,FEMALE,FEMALE,"May 22, 1972",22-05-1972,22-05-1972,Göteborg,Czechia,https://www.europarl.europa.eu/meps/en/124992/MALIN_BJÖRK/home
Vasile BLAGA,Group of the European People's Party (Christian Democrats),197637,Partidul Naţional Liberal,https://www.europarl.europa.eu/mepphoto/197637.jpg,https://www.europarl.europa.eu/mepaudio/197637.mp3,MALE,,MALE,"July 26, 1956",,26-07-1956,,Lithuania,https://www.europarl.europa.eu/meps/en/197637/VASILE_BLAGA/home
Hynek BLAŠKO,Identity and Democracy Group,197564,Svoboda a přímá demokracie,https://www.europarl.europa.eu/mepphoto/197564.jpg,https://www.europarl.europa.eu/mepaudio/197564.mp3,MALE,,MALE,"July 15, 1955",15-07-1955,15-07-1955,,Germany,https://www.europarl.europa.eu/meps/en/197564/HYNEK_BLAŠKO/home
Vilija BLINKEVIČIŪTĖ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96681,Lietuvos socialdemokratų partija,https://www.europarl.europa.eu/mepphoto/96681.jpg,https://www.europarl.europa.eu/mepaudio/96681.mp3,FEMALE,FEMALE,FEMALE,"March 3, 1960",03-03-1960,03-03-1960,Linkuva,Hungary,https://www.europarl.europa.eu/meps/en/96681/VILIJA_BLINKEVIČIŪTĖ/home
